Name;Type;BillingStreet;BillingCity;BillingState;BillingPostalCode;BillingCountry;Phone;Employees;kejrn
XYZ-Frotinor WorldWide Company1;Customer;Suite 525;Raleigh;Colorado;55855;Swaziland;825-005-2902;30;d
1;Competitor;Appartment 94;New Orleans;Wisconsin;12806;Jordan;098-5524431;31;e
XYZ-Parbanar Holdings1;Customer;Roosevelt Building;Louisville;Maine;68179;Ukraine;561-8607045;32;f
XYZ-Trukilonentor WorldWide Group1;Customer;Wilson Building;Albuquerque;Arkansas;45270;Jersey;463-822-3996;33;j
XYZ-Thrudimazz International1;Prospect;Madison Building;Colorado;Arkansas;20561;Bermuda;663-6793925;34;h
XYZ-Supwerpantor Direct Inc1;Prospect;3rd Floor;Jackson;Missouri;90971;Tajikistan;507700-3491;35;i
XYZ-Indudistor  Corp.1;Customer;Suite 567;Santa Ana;Delaware;19869;India;873-1626674;36;j
XYZ-Supweramar WorldWide Group1;Competitor;Appartment 1;Colorado;Wisconsin;78367;Singapore;896-221-6599;37;k
XYZ-Qwifropaquax International Company1;Customer;Customer Department;Fresno;California;52105;Grenada;288-6509724;38;l
XYZ-Suphupegar  Inc1;Competitor;Suite 17;Jackson;South Dakota;17573;Switzerland;126-3886596;39;m
XYZ-Unsipewower WorldWide1;Customer;336th Floor;Montgomery;Illinois;15001;Angola;5728753871;40;n
XYZ-Parbanar Holdings2;Competitor;Suite 7;Lincoln;Kentucky;59898;Honduras;132449-7165;41;o
XYZ-Trukilonentor WorldWide Group12;Prospect;Appartment 293;Arlington;Iowa;47471;Syria;298-838-8675;42;p
2;Customer;Suite 5;Newark;Indiana;51737;Nigeria;551-687-9611;43;q
XYZ-Supwerpantor Direct Inc12;Competitor;Sales Group;Sacramento;New York;66301;Aruba;059-3418571;44;r
2';Customer;Washington Building;Los Angeles;Mississippi;30429;Guinea-Bissau;864-191-3237;45;s
2;Customer;Einstein Building;San Diego;Washington;7170;Norway;117274-1333;46;t
XYZ-Qwifropaquax International Company12;Competitor;2nd Floor;Anchorage;Delaware;43313;Argentina;105220-1349;47;u
XYZ-Suphupegar  Inc12;Prospect;3rd Floor;Honolulu;West Virginia;90035;Uzbekistan;36811222;48;v
XYZ-Unsipewower WorldWide12;Customer;Appartment 55;Fresno;New Jersey;1497;Sri Lanka;858-3668020;49;w
JHEBNFJNJEFCKEDM;ABCDEFG;Suite 525;Raleigh;Colorado;55855;Swaziland;825-005-2902;50;q
